Z,MCLU,step
0.02,1000,1.55
0.02,1002,1.14
0.02,1003,1.5
0.02,1004,1.29
0.02,1005,1.09
0.02,1008,1.2
0.02,1009,1.37
0.02,1012,1.52
0.02,1013,1.31
0.02,1014,1.29
0.02,1015,1.39
0.02,1017,1.94
0.02,1018,1.68
0.02,1019,1.71
0.02,1020,1.36
0.02,1021,1.31
0.02,1024,1.25
0.02,1026,1.23
0.02,1027,1.49
0.02,1028,1.64
0.02,1030,1.26
0.02,1031,1.59
0.02,1034,1.49
0.02,1035,1.38
0.02,1037,1.52
0.02,1040,1.61
0.02,1042,1.52
0.02,1044,1.37
0.02,1045,1.08
0.02,1046,1.22
0.02,1047,1.31
0.02,1048,1.62
0.02,1049,1.21
0.02,1050,1.34
0.02,1051,1.38
0.02,1052,1.6
0.02,1054,1.76
0.02,1057,1.36
0.02,1058,2.15
0.02,1060,1.47
0.02,1062,1.73
0.02,1067,1.8
0.02,1068,1.48
0.02,1075,1.69
0.02,1076,1.67
0.02,1077,1.54
0.02,1078,1.43
0.02,1079,1.48
0.02,1080,1.41
0.02,1084,1.49
0.02,1087,1.41
0.02,1088,1.57
0.02,1089,1.41
0.02,1090,1.33
0.02,1091,1.59
0.02,1092,1.61
0.02,1093,1.51
0.02,1094,1.63
0.02,1095,1.4
0.02,1096,1.53
0.02,1098,1.69
0.02,1099,1.59
